EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 19-06-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at https://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 46 STANAME: Station name
 48- 49 CN     : Country code (ISO3116 countrycodes)
 51- 59 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 61- 70 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 72- 76 HGTH   : Station elevation in meters

STAID,STANAME                                 ,CN,      LAT,       LON,HGHT
 7386,SAVONLINNA ORAVI                        ,FI,+62:06:00,+028:40:00,   82
 7388,SAVONLINNA RUUNAVUORI                   ,FI,+61:50:26,+028:50:36,  155
 7389,PUUMALA KIRKONKYLA                      ,FI,+61:32:08,+028:11:30,  125
 7390,RANTASALMI RUKKASLUOTO                  ,FI,+62:03:46,+028:34:09,   79
 7391,PUNKAHARJU LAUKANSAARI                  ,FI,+61:48:06,+029:19:05,   78
 7402,KITEE HEINONIEMI                        ,FI,+62:12:00,+029:28:00,   76
 7403,KESALAHTI MANTYNIEMI                    ,FI,+61:52:50,+029:50:27,   90
 7404,KITEE KK                                ,FI,+62:06:00,+030:07:59,  104
 7406,VAASA VAASAN LENTOASEMA                 ,FI,+63:02:30,+021:46:04,    6
 7407,GASHALLAN/NARPIO                        ,FI,+62:34:00,+021:03:00,    3
 7408,MUSTASAARI VALASSAARET                  ,FI,+63:26:07,+021:04:05,    4
 7409,VAASA HIETALAHTI                        ,FI,+63:04:59,+021:39:00,    9
 7421,KORSNAS MOIKIPAA                        ,FI,+62:52:59,+021:06:00,    4
 7423,KORSNAS BREDSKARET                      ,FI,+62:56:04,+021:11:18,    2
 7424,VAASA PALOSAARI                         ,FI,+63:06:00,+021:36:00,    4
 7425,MAALAHTI STROMMINGSBADAN                ,FI,+62:58:41,+020:44:36,    2
 7426,VAASA KESKUSTA KOULUKATU                ,FI,+63:05:48,+021:36:33,   15
 7427,VAASA KLEMETTILA                        ,FI,+63:05:54,+021:38:35,    7
 7428,SEINAJOKI PELMAA                        ,FI,+62:56:12,+022:29:27,   26
 7444,PERASEINAJOKI HAUKINEVA                 ,FI,+62:33:00,+022:57:00,  102
 7445,KAUHAVA LENTOKENTTA                     ,FI,+63:07:13,+023:02:49,   42
 7446,LAPUA SIIRILA                           ,FI,+62:58:00,+023:01:00,   34
 7459,KAUHAVA KK UUNIMAANTIE                  ,FI,+63:07:12,+023:02:49,   40
 7466,HALSUA KANALA PUROLA                    ,FI,+63:26:43,+024:26:52,  153
 7469,HALSUA KK                               ,FI,+63:28:00,+024:10:00,  128
 7470,ALAJARVI MOKSY                          ,FI,+63:05:20,+024:15:51,  170
 7472,MULTIA KARHILA                          ,FI,+62:30:37,+024:48:39,  227
 7473,VIITASAARI HAAPANIEMI                   ,FI,+63:04:54,+025:51:42,  132
 7485,MULTIA SAHRAJARVI LINJALA               ,FI,+62:30:00,+025:10:00,  247
 7488,KONNEVESI HYTOLA                        ,FI,+62:36:00,+026:13:59,   95
 7489,VESANTO SONKARI                         ,FI,+62:55:17,+026:25:41,  120
 7499,RAUTALAMPI RASTU                        ,FI,+62:42:36,+026:46:41,  103
 7502,SIILINJARVI KUOPION LENTOASEMA          ,FI,+63:00:29,+027:48:09,   99
 7503,KUOPIO INKILANMAKI                      ,FI,+62:54:00,+027:40:59,  119
 7511,KUOPIO RITONIEMI                        ,FI,+62:47:54,+027:54:29,   86
 7514,KUOPIO AUTOSYNOP                        ,FI,+63:01:30,+027:48:29,   94
 7515,KUOPIO KESKUSTA                         ,FI,+62:53:12,+027:41:34,   88
 7516,KUOPIO SAVILAHTI                        ,FI,+62:53:31,+027:38:12,   87
 7518,OUTOKUMPU KESKUSTA                      ,FI,+62:43:00,+028:58:59,  116
 7532,RAUTAVAARA YLA-LUOSTA                   ,FI,+63:22:40,+028:39:54,  166
 7535,LIPERI JOENSUUN LENTOASEMA              ,FI,+62:39:34,+029:36:52,  121
 7536,JUUKA NIEMELA                           ,FI,+63:13:54,+029:14:16,  116
 7548,LIEKSA HATTUSAARI                       ,FI,+63:13:53,+029:42:20,  157
 7549,LIPERI KASKESNIEMI                      ,FI,+62:34:00,+029:39:00,   77
 7550,LIPERI TUISKAVANLUOTO                   ,FI,+62:32:44,+029:40:18,   78
 7551,JOENSUU LINNUNLAHTI                     ,FI,+62:36:05,+029:43:36,   81
 7552,LIPERI LENTOASEMA VERTAILUMITTAUS       ,FI,+62:39:33,+029:36:51,  117
 7554,ILOMANTSI KK                            ,FI,+62:40:00,+030:55:59,  162
 7555,PIELISJARVI                             ,FI,+63:18:00,+030:01:00,  106
 7556,LIEKSA LAMPELA                          ,FI,+63:19:14,+030:02:57,   98
 7561,ILOMANTSI NAARVA                        ,FI,+63:01:55,+031:03:43,  231
 7564,ILOMANTSI VALIVAARA                     ,FI,+62:52:00,+031:15:00,  194
 7568,ILOMANTSI POTSONVAARA                   ,FI,+63:08:30,+031:02:51,  235
 7570,ILOMANTSI MEKRIJARVI                    ,FI,+62:46:09,+030:58:40,  155
 7571,PIETARSAARI MASSKAR VASTERSUND          ,FI,+63:43:59,+022:34:59,   11
 7572,TANKAR/OJA                              ,FI,+63:57:00,+022:51:00,    8
 7577,KOKKOLA OJA MARASKAR                    ,FI,+63:52:59,+022:55:59,   10
 7578,PIETARSAARI KALLAN                      ,FI,+63:45:03,+022:31:36,    2
 7579,KOKKOLA TANKAR                          ,FI,+63:57:02,+022:50:53,    5
 7580,KRUUNUPYY LENTOASEMA                    ,FI,+63:43:01,+023:08:33,   26
 7581,ULKOKALLA/KALAJOKI                      ,FI,+64:19:59,+023:27:00,    4
 7589,KALAJOKI RAHJA                          ,FI,+64:13:00,+023:42:00,    3
 7590,KALAJOKI ULKOKALLA                      ,FI,+64:19:50,+023:27:01,    3
 7591,KOKKOLA HOLLIHAKA                       ,FI,+63:50:39,+023:07:41,    6
 7592,REISJARVI                               ,FI,+63:40:00,+024:49:59,  129
 7601,OULAINEN OHINEVA                        ,FI,+64:13:50,+024:53:11,   78
 7603,TOHOLAMPI LAITALA                       ,FI,+63:49:15,+024:10:01,   83
 7604,YLIVIESKA LENTOKENTTA                   ,FI,+64:03:00,+024:43:40,   76
 7606,HAAPAJARVI MAAMIESKOULU                 ,FI,+63:45:00,+025:19:59,   88
 7607,HAAPAVESI MUSTIKKAMAKI                  ,FI,+64:08:30,+025:25:41,  112
 7617,PYHAJARVI OJAKYLA                       ,FI,+63:44:08,+025:42:33,  152
 7619,HAAPAVESI PIIPSANNEVA                   ,FI,+64:08:26,+025:36:18,   99
 7621,PYHAJARVI OL PYHASALMI                  ,FI,+63:39:00,+026:03:00,  148
 7631,PYHANTA VIITAMAKI                       ,FI,+63:55:59,+026:25:00,  198
 7644,KAJAANI LENTOASEMA                      ,FI,+64:16:59,+027:40:00,  132
 7646,KAJAANI PETAISENNISKA                   ,FI,+64:13:00,+027:45:18,  160
 7647,VALTIMO KK                              ,FI,+63:40:00,+028:49:57,  115
 7648,RISTIJARVI HIISIJARVI                   ,FI,+64:22:00,+028:34:59,  200
 7657,SOTKAMO KUOLANIEMI                      ,FI,+64:06:39,+028:20:31,  161
 7659,NURMES YLIKYLA                          ,FI,+63:37:00,+029:07:00,  116
 7660,KUHMO KESKUSTA                          ,FI,+64:07:08,+029:28:26,  172
 7667,NURMES POROKYLA                         ,FI,+63:33:00,+029:04:59,  124
 7669,KUHMO KALLIOJOKI                        ,FI,+64:17:51,+030:10:12,  197
 7671,RAAHE NAHKIAINEN                        ,FI,+64:36:42,+023:54:00,    0
 7672,HAILUOTO OJAKYLA                        ,FI,+65:01:09,+024:43:53,    8
 7678,KEMI I MAJAKKA                          ,FI,+65:23:06,+024:06:00,    0
 7679,HAILUOTO MARJANIEMI                     ,FI,+65:02:22,+024:33:55,    8
 7680,RAAHE LAPALUOTO                         ,FI,+64:39:56,+024:24:38,    2
 7681,OULUNSALO OULUN LENTOASEMA              ,FI,+64:55:42,+025:21:02,   14
 7682,SIIKAJOKI REVONLAHTI                    ,FI,+64:41:00,+025:05:33,   48
 7683,OULU LINNANMAA                          ,FI,+65:01:59,+025:28:59,   13
 7687,TYRNAVA LEPPIOJA                        ,FI,+64:48:00,+025:34:59,    9
 7688,OULU VIHREASAARI                        ,FI,+65:00:20,+025:23:48,    3
 7689,OULUNSALO PELLONPAA                     ,FI,+64:56:15,+025:22:32,   10
 7694,PUDASJARVI LENTOKENTTA                  ,FI,+65:23:57,+026:58:00,  121
 7696,PUDASJARVI KURENALUS                    ,FI,+65:22:00,+027:01:00,  116
 7703,PUOLANKA KK                             ,FI,+64:52:00,+027:42:00,  156
 7704,PUOLANKA RASINKYLA-1                    ,FI,+64:49:00,+027:55:59,  254
 7711,SUOMUSSALMI PESIO                       ,FI,+64:55:50,+028:45:01,  223
 7712,PUOLANKA RASINKYLA                      ,FI,+64:49:00,+028:03:00,  300
 7714,HYRYNSALMI KYTOMAKI                     ,FI,+64:49:45,+028:14:12,  320
 7716,PUOLANKA PALJAKKA                       ,FI,+64:39:48,+028:03:37,  341
 7717,SUOMUSSALMI KK                          ,FI,+64:54:09,+029:01:00,  220
 7723,YLITORNIO PORTIMOJARVI                  ,FI,+66:22:00,+023:55:00,   79
 7724,KEMINMAA KEMI-TORNION LENTOASEMA        ,FI,+65:46:59,+024:34:59,   19
 7730,KEMI AJOS                               ,FI,+65:40:21,+024:31:09,    3
 7731,TORNIO LIAKKA                           ,FI,+65:53:17,+024:16:28,    8
 7733,KEMINMAA                                ,FI,+65:48:00,+024:37:00,   13
 7735,TORNIO TORPPI                           ,FI,+65:50:48,+024:10:39,    8
 7736,KUIVANIEMI HALTTULA                     ,FI,+65:31:00,+025:16:00,    5
 7737,ROVANIEMEN MLK PISAVAARA-1              ,FI,+66:19:00,+025:10:00,  130
 7743,RANUA KK                                ,FI,+65:55:57,+026:30:59,  154
 7753,RANUA LENTOKENTTA                       ,FI,+65:58:35,+026:22:17,  161
 7763,TAIVALKOSKI MUSTAVAARA                  ,FI,+65:48:00,+028:03:00,  277
 7764,TAIVALKOSKI KK KAUPPATIE                ,FI,+65:34:26,+028:14:53,  203
 7765,KUUSAMO KIUTAKONGAS                     ,FI,+66:22:05,+029:19:09,  160
 7774,KUUSAMO RUKATUNTURI                     ,FI,+66:09:55,+029:09:19,  486
 7776,KUUSAMO OULANKA                         ,FI,+66:19:00,+029:24:00,  310
 7778,KUUSAMO LENTOASEMA                      ,FI,+65:58:59,+029:13:59,  264
 7779,KOLARI TEURAVUOMA                       ,FI,+67:16:44,+023:46:18,  148
 7782,KOLARI RAUTUVAARA                       ,FI,+67:28:59,+023:54:00,  213
 7783,KOLARI TULLI                            ,FI,+67:18:00,+023:45:00,  146
 7784,YLITORNIO MELTOSJARVI                   ,FI,+66:31:44,+024:39:11,   92
 7789,KITTILA KAUKONEN                        ,FI,+67:28:00,+024:55:00,  182
 7792,ROVANIEMEN MLK MELTAUS                  ,FI,+66:55:00,+025:15:00,  180
 7795,ROVANIEMEN MLK MARRASJARVI              ,FI,+66:52:59,+025:10:59,  136
 7796,ROVANIEMI MLK. MARRASJARVI              ,FI,+66:54:00,+025:04:00,  121
 7798,ROVANIEMI RAUTATIEASEMA                 ,FI,+66:29:53,+025:42:43,   85
 7800,ROVANIEMI AUTOSYNOP                     ,FI,+66:34:30,+025:50:30,  195
 7801,ROVANIEMI APUKKA                        ,FI,+66:34:44,+026:00:54,  106
 7802,SODANKYLA LISMA-AAPA                    ,FI,+67:15:00,+026:34:59,  210
 7809,SODANKYLA AWS                           ,FI,+67:22:04,+026:37:58,  179
 7811,KEMIJARVI JUMISKO                       ,FI,+66:31:00,+027:46:59,  180
 7815,KEMIJARVI LEHTOSALMI                    ,FI,+66:33:33,+027:42:27,  160
 7816,KEMIJARVI LENTOKENTTA                   ,FI,+66:42:55,+027:09:51,  208
 7817,SALLA KK                                ,FI,+66:49:15,+028:40:39,  221
 7818,SAVUKOSKI KK                            ,FI,+67:17:07,+028:10:48,  180
 7824,PELKOSENNIEMI PYHATUNTURI               ,FI,+67:01:17,+027:13:19,  486
 7825,SALLA KK MYLLYTIE                       ,FI,+66:49:59,+028:40:41,  215
 7830,SALLA NARUSKA-1                         ,FI,+67:12:54,+029:14:27,  222
 7831,SALLA NARUSKAJARVI                      ,FI,+67:22:00,+029:22:00,  261
 7832,SALLA NARUSKA                           ,FI,+67:09:44,+029:10:53,  213
 7837,ENONTEKIO HETTA LENTOASEMA              ,FI,+68:21:42,+023:25:54,  306
 7838,KITTILA HUKKAKUMPU                      ,FI,+67:43:00,+024:51:00,  197
 7839,KITTILA PALLASJARVI-1                   ,FI,+68:01:00,+024:10:00,  290
 7840,KITTILA PULJU                           ,FI,+68:13:46,+024:50:30,  279
 7841,KITTILA LEVITUNTURI                     ,FI,+67:47:03,+024:51:25,  524
 7842,MUONIO LAUKUKERO                        ,FI,+68:03:42,+024:02:13,  755
 7843,MUONIO SAMMALTUNTURI                    ,FI,+67:58:22,+024:07:13,  565
 7844,KITTILA PALLASJARVI                     ,FI,+68:01:00,+024:10:00,  303
 7845,KITTILA MATOROVA                        ,FI,+67:59:57,+024:14:39,  340
 7846,KITTILA LENTOASEMA                      ,FI,+67:41:44,+024:51:45,  196
 7847,KITTILA KENTTAROVA                      ,FI,+67:59:27,+024:14:36,  347
 7848,KITTILA KK                              ,FI,+67:39:06,+024:54:20,  181
 7850,KITTILA POKKA                           ,FI,+68:10:09,+025:47:12,  275
 7856,SODANKYLA LOKKA                         ,FI,+67:49:14,+027:45:01,  240
 7857,SODANKYLA VUOTSO                        ,FI,+68:05:02,+027:11:22,  247
 7858,INARI LAANILA                           ,FI,+68:24:00,+027:22:59,  285
 7860,INARI KIILOPAA                          ,FI,+68:21:59,+027:27:00,  326
 7861,INARI SAARISELKA MATKAILUKESKUS         ,FI,+68:24:51,+027:25:03,  302
 7862,INARI SAARISELKA KAUNISPAA              ,FI,+68:25:55,+027:26:56,  430
 7865,INARI RAJAJOOSEPPI                      ,FI,+68:28:39,+028:18:19,  253
 7866,SALLA TUNTSA                            ,FI,+67:34:00,+029:46:59,  280
 7868,SALLA VARRIOTUNTURI                     ,FI,+67:44:51,+029:36:54,  370
 7870,ENONTEKIO KILPISJARVI                   ,FI,+69:03:00,+020:48:00,  483
 7872,ENONTEKIO KILPISJARVI KYLAKESKUS        ,FI,+69:02:54,+020:47:44,  480
 7873,ENONTEKIO KILPISJARVI SAANA             ,FI,+69:02:31,+020:51:28, 1007
 7875,ENONTEKIO NAKKALA                       ,FI,+68:36:09,+023:34:49,  370
 7876,ENONTEKIO PALOJARVI                     ,FI,+68:34:15,+023:20:21,  356
 7877,ENONTEKIO KALMANKALTIO                  ,FI,+68:30:00,+024:43:59,  330
 7881,INARI ANGELI LINTUPUOLISELKA            ,FI,+68:54:09,+025:44:26,  285
 7886,INARI TOIVONIEMI                        ,FI,+69:04:01,+027:07:22,  152
 7887,UTSJOKI KEVO-1                          ,FI,+69:45:20,+027:00:43,  107
 7888,UTSJOKI NUORGAM                         ,FI,+70:04:53,+027:54:02,   22
 7890,INARI PARTAKKO                          ,FI,+69:10:59,+027:55:00,  120
 7893,INARI VAYLA                             ,FI,+69:04:17,+027:29:47,  122
 7895,IVALO LENTOASEMA                        ,FI,+68:36:29,+027:25:59,  144
 7896,UTSJOKI KEVO                            ,FI,+69:45:20,+027:00:43,  107
 7898,INARI KAAMANEN                          ,FI,+69:08:25,+027:16:12,  156
 7899,INARI SEITALAASSA                       ,FI,+69:02:52,+027:45:39,  120
 7900,UTSJOKI KEVO KEVOJARVI                  ,FI,+69:45:24,+027:00:54,   76
 7901,INARI NELLIM-1                          ,FI,+68:50:54,+028:18:11,  120
 7902,INARI SEVETTIJARVI-1                    ,FI,+69:33:00,+028:37:59,   96
 7903,INARI SEVETTIJARVI                      ,FI,+69:30:26,+028:35:51,  100
 7904,INARI NELLIM                            ,FI,+68:50:56,+028:18:14,  123
 7905,INARI KIRAKKAJARVI SANILANLAMPI         ,FI,+69:34:32,+028:50:51,  130
 7907,INARI KIRAKKAJARVI                      ,FI,+69:34:54,+028:53:57,  103
 7962,DUNDAS                                  ,GL,+76:34:00,-068:48:00,   21
 7963,QAANAAQ                                 ,GL,+77:28:00,-069:13:00,   16
 7964,PITUFFIK                                ,GL,+76:31:59,-068:45:00,   77
 7965,KITSISSUT                               ,GL,+76:37:59,-073:00:00,   11
 7966,MITT. QAANAAQ                           ,GL,+77:28:59,-069:22:59,   16
 7967,HALL LAND                               ,GL,+81:40:59,-059:57:00,  105
 7968,KITSISSORSUIT                           ,GL,+74:01:59,-057:49:00,   40
 7969,UPERNAVIK AWS                           ,GL,+72:46:59,-056:10:00,   63
 7970,UPERNAVIK                               ,GL,+72:46:59,-056:10:00,  120
 7971,MITT. UPERNAVIK                         ,GL,+72:46:59,-056:07:59,  126
 7972,UUMMANNAQ HELI.                         ,GL,+70:40:59,-052:07:00,    2
 7973,MITT. QAARSUT                           ,GL,+70:43:59,-052:42:00,   88
 7974,QULLITSAT                               ,GL,+70:03:00,-052:51:00,    2
 7975,NUUSSUAQ                                ,GL,+70:40:59,-054:37:00,   27
 7976,QASIGIANNGUIT HELI.                     ,GL,+68:49:00,-051:10:00,   24
 7977,QEQERTARSUAQ                            ,GL,+69:13:59,-053:31:00,   24
 7978,QEQERTARSUAQ HELI.                      ,GL,+69:15:00,-053:31:59,   11
 7979,AASIAAT                                 ,GL,+68:42:00,-052:45:00,   43
 7980,MITT. AASIAAT                           ,GL,+68:43:00,-052:46:59,   23
 7981,KITSISSUT/ATTU                          ,GL,+67:46:59,-053:58:00,   12
 7982,SISIMIUT                                ,GL,+66:55:00,-053:40:00,   12
 7983,KANGERLUSSUAQ                           ,GL,+67:01:00,-050:42:00,   50
 7984,MITT. SISIMIUT                          ,GL,+66:57:00,-053:43:00,   10
 7987,MANIITSOQ                               ,GL,+65:24:00,-052:52:00,   25
 7988,MITT. MANIITSOQ                         ,GL,+65:25:00,-052:55:59,   28
 7989,SIORALIK                                ,GL,+65:01:00,-052:33:00,   14
 7993,NUUK                                    ,GL,+64:10:00,-051:45:00,   80
 7996,UKIIVIK                                 ,GL,+62:34:00,-050:25:00,   22
 7997,QEQERTARSUATSIAAT                       ,GL,+63:04:59,-050:40:59,    0
 7998,MITT. NUUK                              ,GL,+64:12:00,-051:40:59,   86
 7999,MITT. PAAMIUT                           ,GL,+62:01:00,-049:40:00,   36
 8000,KANGILINNGUIT                           ,GL,+61:13:59,-048:06:00,   35
 8003,NUNARSUIT                               ,GL,+60:46:00,-048:27:00,   33
 8004,MITT. NARSARSUAQ                        ,GL,+61:10:00,-045:25:00,   27
 8005,QAQORTOQ                                ,GL,+60:43:00,-046:03:00,   32
 8006,QAQORTOQ HELIPORT                       ,GL,+60:43:00,-046:01:59,   18
 8008,NARSAQ HELIPORT                         ,GL,+60:55:00,-046:03:00,   25
 8009,ALLUITSUP PAA HELIP.                    ,GL,+60:28:00,-045:34:59,   23
 8010,NANORTALIK HELIPORT                     ,GL,+60:07:59,-045:13:59,    5
 8011,ANGISOQ                                 ,GL,+59:58:59,-045:07:59,   20
 8013,KAP MORRIS JESUP                        ,GL,+83:39:00,-033:22:00,    4
 8014,KAP HARALD MOLTKE                       ,GL,+82:09:00,-029:55:00,    4
 8015,STATION NORD                            ,GL,+81:36:00,-016:38:59,   36
 8016,STATION NORD AWS                        ,GL,+81:36:00,-016:40:00,   34
 8017,HENRIK KROYER HOLME                     ,GL,+80:39:00,-013:43:00,   10
 8018,DANEBORG                                ,GL,+74:18:00,-020:13:00,   44
 8019,MESTERSVIG                              ,GL,+72:15:00,-023:54:00,   16
 8020,ITTOQQORTOORMIIT                        ,GL,+70:28:59,-021:57:00,   70
 8021,UUNARTEQ                                ,GL,+70:25:00,-021:58:00,   41
 8022,MITT. NERLERIT INAAT                    ,GL,+70:45:00,-022:39:00,   13
 8024,APUTITEEQ                               ,GL,+67:46:59,-032:17:59,   13
 8025,MITT. KULUSUK                           ,GL,+65:34:59,-037:09:00,   35
 8028,IKERMIT                                 ,GL,+64:46:59,-040:18:00,   85
 8029,TIMMIARMIUT                             ,GL,+62:31:59,-042:07:59,   10
 8030,IKERMIUARSUK                            ,GL,+61:55:59,-042:04:00,   39
 8032,IKERASASSUAQ                            ,GL,+60:03:00,-043:10:00,   88
 8033,RENLAND                                 ,GL,+71:30:00,-026:31:59, 2320
 8034,SUMMIT-1                                ,GL,+72:34:59,-037:37:59, 3250
 8035,SUMMIT-2                                ,GL,+72:34:59,-038:27:00, 3202
 8039,VIZE                                    ,RU,+79:30:00,+076:58:59,   10
 8040,GOLOMYANNY'J                            ,RU,+79:33:00,+090:37:00,    7
 8041,RUSSKIJ                                 ,RU,+77:10:00,+096:25:59,    9
 8042,IM. E.K.FEDOROVA GMO                    ,RU,+77:43:00,+104:18:00,   12
 8044,STERLEGOVA                              ,RU,+75:25:00,+088:54:00,   10
 8045,IM. E.K.FEDOROVA                        ,RU,+70:27:00,+059:04:59,   13
 8046,VOLOCHANKA                              ,RU,+70:58:00,+094:30:00,   37
 8048,KOTEL'NY'J                              ,RU,+76:00:00,+137:52:00,   12
 8049,TERPYAJ-TUMSA                           ,RU,+73:33:00,+118:40:00,   12
 8050,SHALAUROVA                              ,RU,+73:10:59,+143:13:59,   21
 8051,SASKY'LAX                               ,RU,+71:58:00,+114:04:59,   16
 8052,TIKSI                                   ,RU,+71:34:59,+128:55:00,    6
 8054,KYUSYUR                                 ,RU,+70:40:59,+127:24:00,   30
 8055,YUBILEJNAYA                             ,RU,+70:46:00,+136:13:00,   23
 8056,VAJDA GUBA                              ,RU,+69:55:59,+031:58:59,    8
 8057,POLYARNOE                               ,RU,+69:12:00,+033:28:59,   32
 8058,KOLGUEV SEVERNY'J                       ,RU,+69:31:59,+049:04:59,   23
 8059,YANISKOSKI                              ,RU,+68:58:00,+028:46:59,   99
 8060,KOVDOR                                  ,RU,+67:34:00,+030:27:00,  246
 8061,KANEVKA                                 ,RU,+67:07:59,+039:40:00,  149
 8062,SOSNOVEс  OSTROV                       ,RU,+66:28:59,+040:40:59,   15
 8063,AMDERMA                                 ,RU,+69:45:00,+061:42:00,   53
 8064,ANTIPAYUTA                              ,RU,+69:04:59,+076:51:00,    2
 8065,DUDINKA                                 ,RU,+69:24:00,+086:10:00,   14
 8067,MY'S KONSTANTINOVSKIJ                   ,RU,+68:33:00,+055:30:00,    5
 8068,ELEсKAYA                               ,RU,+67:03:00,+064:04:00,  113
 8069,TAZOVSK                                 ,RU,+67:28:00,+078:43:59,   26
 8070,IGARKA                                  ,RU,+67:28:00,+086:34:00,   20
 8071,RA-IZ                                   ,RU,+66:54:00,+065:40:00,  895
 8072,NY'DA                                   ,RU,+66:37:59,+072:55:59,    5
 8073,SIDOROVSK                               ,RU,+66:35:59,+082:18:00,   34
 8074,AGATA                                   ,RU,+66:52:59,+093:28:00,  277
 8075,NADY'M                                  ,RU,+65:28:00,+072:40:00,   14
 8076,YANOV STAN                              ,RU,+65:58:59,+084:16:00,   41
 8077,IRAEL'                                  ,RU,+64:31:00,+055:24:00,  156
 8078,SARANPAUL'                              ,RU,+64:16:59,+060:52:59,   28
 8079,TARKO-SALE                              ,RU,+64:55:00,+077:49:00,   26
 8080,TUTONCHANY'                             ,RU,+64:12:00,+093:46:59,  105
 8081,XALESOVAYA                              ,RU,+63:22:59,+078:19:00,   66
 8082,TOL'KA                                  ,RU,+63:58:59,+082:04:59,   31
 8083,VERXNEIMBATSK                           ,RU,+63:09:00,+087:57:00,   46
 8084,UST'-VY'M'                              ,RU,+62:13:59,+050:25:00,  106
 8085,LAR'YAK                                 ,RU,+61:06:00,+080:15:00,   55
 8086,KOJGORODOK                              ,RU,+60:27:00,+050:58:00,  124
 8087,UGUT                                    ,RU,+60:30:00,+074:01:00,   47
 8088,VANZHIL'-KY'NAK                         ,RU,+60:21:00,+084:04:59,   98
 8092,SEVERO-ENISEJSKIJ                       ,RU,+60:22:59,+093:01:59,  513
 8094,DEPUTATSKIJ                             ,RU,+69:19:59,+139:40:00,  282
 8095,ESSEJ                                   ,RU,+68:28:00,+102:22:00,  272
 8096,SUXANA                                  ,RU,+68:37:00,+118:19:59,   78
 8097,DZHARDZHAN                              ,RU,+68:43:59,+124:00:00,   38
 8098,SELAGONCY                               ,RU,+66:15:00,+114:16:48,  233
 8099,UST'-CHARKY'                            ,RU,+66:48:00,+136:40:59,  274
 8100,UST'-MOMA                               ,RU,+66:27:00,+143:13:59,  195
 8101,CHUMPURUK                               ,RU,+64:13:59,+116:55:00,  137
 8104,KISLOKAN                                ,RU,+63:34:59,+103:58:00,  209
 8106,XATY'RY'K-XOMO                          ,RU,+63:57:00,+124:49:59,   76
 8109,SEGEN-KYUEL'                            ,RU,+64:00:00,+130:18:00,  208
 8110,TOMPO                                   ,RU,+63:57:00,+135:52:00,  399
 8111,VOSTOCHNAYA                             ,RU,+63:13:00,+139:36:00, 1286
 8112,NAKANNO                                 ,RU,+62:52:59,+108:25:59,  246
 8114,MIRNY'J                                 ,RU,+62:31:59,+113:52:00,  351
 8115,KREST-XAL'DZHAJ                         ,RU,+62:49:00,+134:25:59,  119
 8117,SUSUMAN                                 ,RU,+62:46:59,+148:10:00,  646
 8118,STRELKA CHUNYA                          ,RU,+61:45:00,+102:48:00,  357
 8122,LENSK                                   ,RU,+60:43:00,+114:52:59,  241
 8123,KILEER                                  ,RU,+60:57:00,+119:18:00,  247
 8125,TEGYUL'TYA                              ,RU,+60:28:00,+130:00:00,  173
 8126,UEGA                                    ,RU,+60:43:00,+142:46:59,  396
 8128,BUXTA AMBARCHIK                         ,RU,+69:37:00,+162:18:00,   24
 8129,OSTROV AJON                             ,RU,+69:55:59,+167:58:59,   13
 8130,MY'S BILLINGS                           ,RU,+69:52:59,+175:46:00,    2
 8132,OSTROVNOE                               ,RU,+68:07:00,+164:10:00,   98
 8133,SREDNEKOLY'MSK                          ,RU,+67:27:00,+153:43:00,   20
 8134,ILIRNEJ                                 ,RU,+67:15:00,+167:58:00,  352
 8135,MY'S VANKAREM                           ,RU,+67:49:59,+184:10:00,    3
 8136,UST'-OLOJ                               ,RU,+66:33:00,+159:25:00,  127
 8137,E'N'MUVEEM                              ,RU,+66:22:59,+173:19:59,   78
 8138,AMGUE'MA                                ,RU,+67:01:00,+181:04:00,  139
 8139,EGVEKINOT                               ,RU,+66:20:59,+180:54:00,   21
 8140,UE'LEN                                  ,RU,+66:10:00,+190:10:00,    5
 8141,ZY'RYANKA                               ,RU,+65:43:59,+150:54:00,   41
 8142,OMOLON                                  ,RU,+65:13:59,+160:31:59,  260
 8143,KORKODON                                ,RU,+64:45:00,+153:58:00,   97
 8145,VERXNE-PENZHINO                         ,RU,+64:13:00,+164:13:59,  324
 8146,KEDON                                   ,RU,+64:00:00,+158:55:00,  682
 8148,BERINGOVSKAYA                           ,RU,+63:03:00,+179:19:00,    3
 8149,SREDNEKAN                               ,RU,+62:27:00,+152:19:00,  264
 8151,XATY'RKA                                ,RU,+62:03:00,+175:12:00,   11
 8152,GAVRIILA BUXTA                          ,RU,+62:25:00,+179:07:59,    4
 8155,OLA                                     ,RU,+59:34:00,+151:16:59,    4
 8156,MY'S ALEVINA                            ,RU,+58:49:59,+151:21:00,   64
 8157,SHELIXOVO                               ,RU,+60:43:00,+155:52:59,   34
 8158,BROXOVO                                 ,RU,+59:39:00,+154:16:00,    7
